mode,threads,dataset,seed,elapsed_ms,portfolio_value
seq,1,balanced,42,162,2843.7070
seq,1,unbalanced,42,4021,2597.5307
par,2,balanced,42,107,2843.7070
steal,2,balanced,42,93,2843.7070
par,2,unbalanced,42,4119,2597.5307
steal,2,unbalanced,42,1897,2597.5307
par,4,balanced,42,59,2843.7070
steal,4,balanced,42,47,2843.7070
par,4,unbalanced,42,3278,2597.5307
steal,4,unbalanced,42,954,2597.5307
par,6,balanced,42,56,2843.7070
steal,6,balanced,42,29,2843.7070
par,6,unbalanced,42,2102,2597.5307
steal,6,unbalanced,42,614,2597.5307
par,8,balanced,42,27,2843.7070
steal,8,balanced,42,23,2843.7070
par,8,unbalanced,42,1796,2597.5307
steal,8,unbalanced,42,485,2597.5307
par,12,balanced,42,26,2843.7070
steal,12,balanced,42,21,2843.7070
par,12,unbalanced,42,1147,2597.5307
steal,12,unbalanced,42,419,2597.5307
seq,1,balanced,100,157,2841.1003
seq,1,unbalanced,100,4117,2595.0268
par,2,balanced,100,86,2841.1003
steal,2,balanced,100,82,2841.1003
par,2,unbalanced,100,3922,2595.0268
steal,2,unbalanced,100,1923,2595.0268
par,4,balanced,100,60,2841.1003
steal,4,balanced,100,49,2841.1003
par,4,unbalanced,100,3264,2595.0268
steal,4,unbalanced,100,907,2595.0268
par,6,balanced,100,54,2841.1003
steal,6,balanced,100,32,2841.1003
par,6,unbalanced,100,2053,2595.0268
steal,6,unbalanced,100,595,2595.0268
par,8,balanced,100,42,2841.1003
steal,8,balanced,100,24,2841.1003
par,8,unbalanced,100,1925,2595.0268
steal,8,unbalanced,100,469,2595.0268
par,12,balanced,100,21,2841.1003
steal,12,balanced,100,18,2841.1003
par,12,unbalanced,100,1184,2595.0268
steal,12,unbalanced,100,419,2595.0268
seq,1,balanced,7,157,2841.3303
seq,1,unbalanced,7,3789,2597.3506
par,2,balanced,7,99,2841.3303
steal,2,balanced,7,92,2841.3303
par,2,unbalanced,7,3994,2597.3506
steal,2,unbalanced,7,1904,2597.3506
par,4,balanced,7,68,2841.3303
steal,4,balanced,7,48,2841.3303
par,4,unbalanced,7,3215,2597.3506
steal,4,unbalanced,7,914,2597.3506
par,6,balanced,7,44,2841.3303
steal,6,balanced,7,30,2841.3303
par,6,unbalanced,7,2073,2597.3506
steal,6,unbalanced,7,646,2597.3506
par,8,balanced,7,35,2841.3303
steal,8,balanced,7,26,2841.3303
par,8,unbalanced,7,1735,2597.3506
steal,8,unbalanced,7,517,2597.3506
par,12,balanced,7,26,2841.3303
steal,12,balanced,7,20,2841.3303
par,12,unbalanced,7,1302,2597.3506
steal,12,unbalanced,7,431,2597.3506
seq,1,balanced,1234,162,2840.1604
seq,1,unbalanced,1234,3846,2596.5955
par,2,balanced,1234,106,2840.1604
steal,2,balanced,1234,92,2840.1604
par,2,unbalanced,1234,4211,2596.5955
steal,2,unbalanced,1234,1810,2596.5955
par,4,balanced,1234,67,2840.1604
steal,4,balanced,1234,47,2840.1604
par,4,unbalanced,1234,3330,2596.5955
steal,4,unbalanced,1234,918,2596.5955
par,6,balanced,1234,34,2840.1604
steal,6,balanced,1234,29,2840.1604
par,6,unbalanced,1234,2104,2596.5955
steal,6,unbalanced,1234,624,2596.5955
par,8,balanced,1234,28,2840.1604
steal,8,balanced,1234,27,2840.1604
par,8,unbalanced,1234,1778,2596.5955
steal,8,unbalanced,1234,501,2596.5955
par,12,balanced,1234,24,2840.1604
steal,12,balanced,1234,19,2840.1604
par,12,unbalanced,1234,1189,2596.5955
steal,12,unbalanced,1234,421,2596.5955
seq,1,balanced,9999,157,2837.3426
seq,1,unbalanced,9999,4263,2593.1544
par,2,balanced,9999,106,2837.3426
steal,2,balanced,9999,92,2837.3426
par,2,unbalanced,9999,3780,2593.1544
steal,2,unbalanced,9999,1966,2593.1544
par,4,balanced,9999,67,2837.3426
steal,4,balanced,9999,50,2837.3426
par,4,unbalanced,9999,3395,2593.1544
steal,4,unbalanced,9999,921,2593.1544
par,6,balanced,9999,55,2837.3426
steal,6,balanced,9999,29,2837.3426
par,6,unbalanced,9999,2032,2593.1544
steal,6,unbalanced,9999,599,2593.1544
par,8,balanced,9999,35,2837.3426
steal,8,balanced,9999,22,2837.3426
par,8,unbalanced,9999,1945,2593.1544
steal,8,unbalanced,9999,476,2593.1544
par,12,balanced,9999,19,2837.3426
steal,12,balanced,9999,21,2837.3426
par,12,unbalanced,9999,1296,2593.1544
steal,12,unbalanced,9999,413,2593.1544
